standard_material_id,standard_code,canonical_name,category,material,grade,specifications,canonical_unit,synthetic_data_notice
SYN-CAN-110,SYN-CBL-COP-4CX16-3P3kV,Copper Control Cable 4C x 16 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,4C x 16 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-111,SYN-CBL-ALU-2CX2P5-1P1kV,Aluminium Armoured Cable 2C x 2.5 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,2C x 2.5 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-112,SYN-CBL-ALU-2CX2P5-3P3kV,Aluminium Armoured Cable 2C x 2.5 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,2C x 2.5 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-113,SYN-CBL-ALU-3CX4-1P1kV,Aluminium Armoured Cable 3C x 4 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,3C x 4 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-114,SYN-CBL-ALU-3CX4-3P3kV,Aluminium Armoured Cable 3C x 4 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,3C x 4 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-115,SYN-CBL-ALU-3CX6-1P1kV,Aluminium Armoured Cable 3C x 6 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,3C x 6 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-116,SYN-CBL-ALU-3CX6-3P3kV,Aluminium Armoured Cable 3C x 6 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,3C x 6 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-117,SYN-CBL-ALU-4CX10-1P1kV,Aluminium Armoured Cable 4C x 10 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,4C x 10 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-118,SYN-CBL-ALU-4CX10-3P3kV,Aluminium Armoured Cable 4C x 10 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,4C x 10 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-119,SYN-CBL-ALU-4CX16-1P1kV,Aluminium Armoured Cable 4C x 16 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,4C x 16 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-120,SYN-CBL-ALU-4CX16-3P3kV,Aluminium Armoured Cable 4C x 16 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,4C x 16 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-121,SYN-BRG-62-20-Normal,Deep Groove Ball Bearing Series 62 Bore 20 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 20 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-122,SYN-BRG-62-20-C3,Deep Groove Ball Bearing Series 62 Bore 20 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 20 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-123,SYN-BRG-62-25-Normal,Deep Groove Ball Bearing Series 62 Bore 25 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 25 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-124,SYN-BRG-62-25-C3,Deep Groove Ball Bearing Series 62 Bore 25 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 25 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-125,SYN-BRG-62-30-Normal,Deep Groove Ball Bearing Series 62 Bore 30 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 30 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-126,SYN-BRG-62-30-C3,Deep Groove Ball Bearing Series 62 Bore 30 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 30 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-127,SYN-BRG-62-35-Normal,Deep Groove Ball Bearing Series 62 Bore 35 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 35 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-128,SYN-BRG-62-35-C3,Deep Groove Ball Bearing Series 62 Bore 35 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 35 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-129,SYN-BRG-62-40-Normal,Deep Groove Ball Bearing Series 62 Bore 40 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 40 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-130,SYN-BRG-62-40-C3,Deep Groove Ball Bearing Series 62 Bore 40 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 62; bore 40 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-131,SYN-BRG-32-20-Normal,Taper Roller Bearing Series 32 Bore 20 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 20 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-132,SYN-BRG-32-20-C3,Taper Roller Bearing Series 32 Bore 20 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 20 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-133,SYN-BRG-32-25-Normal,Taper Roller Bearing Series 32 Bore 25 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 25 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-134,SYN-BRG-32-25-C3,Taper Roller Bearing Series 32 Bore 25 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 25 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-135,SYN-BRG-32-30-Normal,Taper Roller Bearing Series 32 Bore 30 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 30 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-136,SYN-BRG-32-30-C3,Taper Roller Bearing Series 32 Bore 30 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 30 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-137,SYN-BRG-32-35-Normal,Taper Roller Bearing Series 32 Bore 35 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 35 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-138,SYN-BRG-32-35-C3,Taper Roller Bearing Series 32 Bore 35 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 35 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-139,SYN-BRG-32-40-Normal,Taper Roller Bearing Series 32 Bore 40 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 40 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-140,SYN-BRG-32-40-C3,Taper Roller Bearing Series 32 Bore 40 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 32; bore 40 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-141,SYN-BRG-22-20-Normal,Spherical Roller Bearing Series 22 Bore 20 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 20 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-142,SYN-BRG-22-20-C3,Spherical Roller Bearing Series 22 Bore 20 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 20 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-143,SYN-BRG-22-25-Normal,Spherical Roller Bearing Series 22 Bore 25 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 25 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-144,SYN-BRG-22-25-C3,Spherical Roller Bearing Series 22 Bore 25 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 25 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-145,SYN-BRG-22-30-Normal,Spherical Roller Bearing Series 22 Bore 30 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 30 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-146,SYN-BRG-22-30-C3,Spherical Roller Bearing Series 22 Bore 30 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 30 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-147,SYN-BRG-22-35-Normal,Spherical Roller Bearing Series 22 Bore 35 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 35 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-148,SYN-BRG-22-35-C3,Spherical Roller Bearing Series 22 Bore 35 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 35 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-149,SYN-BRG-22-40-Normal,Spherical Roller Bearing Series 22 Bore 40 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 40 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-150,SYN-BRG-22-40-C3,Spherical Roller Bearing Series 22 Bore 40 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series 22; bore 40 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-151,SYN-BRG-NA-20-Normal,Needle Roller Bearing Series NA Bore 20 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 20 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-152,SYN-BRG-NA-20-C3,Needle Roller Bearing Series NA Bore 20 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 20 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-153,SYN-BRG-NA-25-Normal,Needle Roller Bearing Series NA Bore 25 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 25 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-154,SYN-BRG-NA-25-C3,Needle Roller Bearing Series NA Bore 25 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 25 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-155,SYN-BRG-NA-30-Normal,Needle Roller Bearing Series NA Bore 30 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 30 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-156,SYN-BRG-NA-30-C3,Needle Roller Bearing Series NA Bore 30 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 30 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-157,SYN-BRG-NA-35-Normal,Needle Roller Bearing Series NA Bore 35 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 35 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-158,SYN-BRG-NA-35-C3,Needle Roller Bearing Series NA Bore 35 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 35 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-159,SYN-BRG-NA-40-Normal,Needle Roller Bearing Series NA Bore 40 mm Normal Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 40 mm; radial clearance Normal,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-160,SYN-BRG-NA-40-C3,Needle Roller Bearing Series NA Bore 40 mm C3 Clearance,Bearings,Chrome Steel,ISO 15,Series NA; bore 40 mm; radial clearance C3,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-161,SYN-GSK-GRAPH-DN15-CL150,Graphite Flange Gasket DN 15 Class 150,Sealing,Graphite,ASME B16.20,DN 15; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-162,SYN-GSK-GRAPH-DN15-CL300,Graphite Flange Gasket DN 15 Class 300,Sealing,Graphite,ASME B16.20,DN 15; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-163,SYN-GSK-GRAPH-DN25-CL150,Graphite Flange Gasket DN 25 Class 150,Sealing,Graphite,ASME B16.20,DN 25; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-164,SYN-GSK-GRAPH-DN25-CL300,Graphite Flange Gasket DN 25 Class 300,Sealing,Graphite,ASME B16.20,DN 25; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-165,SYN-GSK-GRAPH-DN40-CL150,Graphite Flange Gasket DN 40 Class 150,Sealing,Graphite,ASME B16.20,DN 40; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-166,SYN-GSK-GRAPH-DN40-CL300,Graphite Flange Gasket DN 40 Class 300,Sealing,Graphite,ASME B16.20,DN 40; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-167,SYN-GSK-GRAPH-DN50-CL150,Graphite Flange Gasket DN 50 Class 150,Sealing,Graphite,ASME B16.20,DN 50; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-168,SYN-GSK-GRAPH-DN50-CL300,Graphite Flange Gasket DN 50 Class 300,Sealing,Graphite,ASME B16.20,DN 50; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-169,SYN-GSK-GRAPH-DN80-CL150,Graphite Flange Gasket DN 80 Class 150,Sealing,Graphite,ASME B16.20,DN 80; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-170,SYN-GSK-GRAPH-DN80-CL300,Graphite Flange Gasket DN 80 Class 300,Sealing,Graphite,ASME B16.20,DN 80; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-171,SYN-GSK-PTFE-DN15-CL150,PTFE Flange Gasket DN 15 Class 150,Sealing,PTFE,ASME B16.20,DN 15; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-172,SYN-GSK-PTFE-DN15-CL300,PTFE Flange Gasket DN 15 Class 300,Sealing,PTFE,ASME B16.20,DN 15; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-173,SYN-GSK-PTFE-DN25-CL150,PTFE Flange Gasket DN 25 Class 150,Sealing,PTFE,ASME B16.20,DN 25; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-174,SYN-GSK-PTFE-DN25-CL300,PTFE Flange Gasket DN 25 Class 300,Sealing,PTFE,ASME B16.20,DN 25; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-175,SYN-GSK-PTFE-DN40-CL150,PTFE Flange Gasket DN 40 Class 150,Sealing,PTFE,ASME B16.20,DN 40; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-176,SYN-GSK-PTFE-DN40-CL300,PTFE Flange Gasket DN 40 Class 300,Sealing,PTFE,ASME B16.20,DN 40; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-177,SYN-GSK-PTFE-DN50-CL150,PTFE Flange Gasket DN 50 Class 150,Sealing,PTFE,ASME B16.20,DN 50; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-178,SYN-GSK-PTFE-DN50-CL300,PTFE Flange Gasket DN 50 Class 300,Sealing,PTFE,ASME B16.20,DN 50; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-179,SYN-GSK-PTFE-DN80-CL150,PTFE Flange Gasket DN 80 Class 150,Sealing,PTFE,ASME B16.20,DN 80; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-180,SYN-GSK-PTFE-DN80-CL300,PTFE Flange Gasket DN 80 Class 300,Sealing,PTFE,ASME B16.20,DN 80; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-181,SYN-GSK-SPIRA-DN15-CL150,Spiral Wound SS316 Flange Gasket DN 15 Class 150,Sealing,Spiral Wound SS316,ASME B16.20,DN 15; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-182,SYN-GSK-SPIRA-DN15-CL300,Spiral Wound SS316 Flange Gasket DN 15 Class 300,Sealing,Spiral Wound SS316,ASME B16.20,DN 15; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-183,SYN-GSK-SPIRA-DN25-CL150,Spiral Wound SS316 Flange Gasket DN 25 Class 150,Sealing,Spiral Wound SS316,ASME B16.20,DN 25; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-184,SYN-GSK-SPIRA-DN25-CL300,Spiral Wound SS316 Flange Gasket DN 25 Class 300,Sealing,Spiral Wound SS316,ASME B16.20,DN 25; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-185,SYN-GSK-SPIRA-DN40-CL150,Spiral Wound SS316 Flange Gasket DN 40 Class 150,Sealing,Spiral Wound SS316,ASME B16.20,DN 40; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-186,SYN-GSK-SPIRA-DN40-CL300,Spiral Wound SS316 Flange Gasket DN 40 Class 300,Sealing,Spiral Wound SS316,ASME B16.20,DN 40; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-187,SYN-GSK-SPIRA-DN50-CL150,Spiral Wound SS316 Flange Gasket DN 50 Class 150,Sealing,Spiral Wound SS316,ASME B16.20,DN 50; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-188,SYN-GSK-SPIRA-DN50-CL300,Spiral Wound SS316 Flange Gasket DN 50 Class 300,Sealing,Spiral Wound SS316,ASME B16.20,DN 50; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-189,SYN-GSK-SPIRA-DN80-CL150,Spiral Wound SS316 Flange Gasket DN 80 Class 150,Sealing,Spiral Wound SS316,ASME B16.20,DN 80; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-190,SYN-GSK-SPIRA-DN80-CL300,Spiral Wound SS316 Flange Gasket DN 80 Class 300,Sealing,Spiral Wound SS316,ASME B16.20,DN 80; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-191,SYN-GSK-CAF-DN15-CL150,CAF Flange Gasket DN 15 Class 150,Sealing,CAF,ASME B16.20,DN 15; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-192,SYN-GSK-CAF-DN15-CL300,CAF Flange Gasket DN 15 Class 300,Sealing,CAF,ASME B16.20,DN 15; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-193,SYN-GSK-CAF-DN25-CL150,CAF Flange Gasket DN 25 Class 150,Sealing,CAF,ASME B16.20,DN 25; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-194,SYN-GSK-CAF-DN25-CL300,CAF Flange Gasket DN 25 Class 300,Sealing,CAF,ASME B16.20,DN 25; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-195,SYN-GSK-CAF-DN40-CL150,CAF Flange Gasket DN 40 Class 150,Sealing,CAF,ASME B16.20,DN 40; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-196,SYN-GSK-CAF-DN40-CL300,CAF Flange Gasket DN 40 Class 300,Sealing,CAF,ASME B16.20,DN 40; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-197,SYN-GSK-CAF-DN50-CL150,CAF Flange Gasket DN 50 Class 150,Sealing,CAF,ASME B16.20,DN 50; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-198,SYN-GSK-CAF-DN50-CL300,CAF Flange Gasket DN 50 Class 300,Sealing,CAF,ASME B16.20,DN 50; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-199,SYN-GSK-CAF-DN80-CL150,CAF Flange Gasket DN 80 Class 150,Sealing,CAF,ASME B16.20,DN 80; Class 150; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-200,SYN-GSK-CAF-DN80-CL300,CAF Flange Gasket DN 80 Class 300,Sealing,CAF,ASME B16.20,DN 80; Class 300; raised-face flange gasket,each,SYNTHETIC_DEMO_DATA_ONLY
